id,mapudungun,raiz,gramatica,castellano,ejemplo,imagen,source
020116,chang,chang,sustantivo,"pierna, muslo, gancho",,,FFD 2022
0201162609092908262726,changüll küwü,changüll küwü,sustantivo,dedos de la mano,,,FFD 2022
020116260909291301122613,changüll namün,changüll namün,sustantivo,"dedos de los pies, ortejos",,,FFD 2022
020116352613,changün,chang–ün,verbo,"tener ganchos, partes",,,Augusta 1903
0201180103,chapad,chapad,sustantivo,"barro, lodo",,,Augusta 1903
02011804,chape,chape,sustantivo,trenza,,,FFD 2022
0201180408013513,chapekan,chapeka–n,verbo,trenzar,,,Augusta 1903
0201182603,chapüd,chapüd,adjetivo,"chato, de forma aplastada",,,Augusta 1903
0201182603352613,chapüdün,chapüd–ün,verbo,aplanar (ej. masas),,,FFD 2022
02011925,charu,charu,sustantivo,cántaro chico,,,Augusta 1903
020127,chaw,chaw,sustantivo,padre,,,Augusta 1903
0201270128,chaway,chaway,sustantivo,aros,,,FFD 2022
02012822253513,chaytun,chaytu–n,verbo,"colar con chaywe, hacer pasar líquidos por una especie de arnero",,,FFD 2022
0204,che,che,sustantivo,"gente, persona",,,Augusta 1903
02040204,cheche,cheche,sustantivo,abuelo materno,,,Augusta 1903
0204022612,chechüm,chechüm,sustantivo,carga,,,Augusta 1903
0204022612352613,chechümün,chechüm–ün,verbo,cargar (animales),,,Augusta 1903
02040508263513,chefkün,chefkü–n,verbo,"aventar, limpiar aventando",,,FFD 2022
02040801092609,chekalül,chekalül,sustantivo,esqueleto,,,FFD 2022
0204081703082609043513,chekodkülen,chekodküle–n,verbo,estar en cuclillas,,,FFD 2022
020412082613,chemkün,chemkün,sustantivo,objetos,,,FFD 2022
02041216043513,chemngen,chemnge–n,verbo,¿qué ser?,,,FFD 2022
02041218073513,chempin,chempi–n,verbo,¿qué decir?,,,FFD 2022
020412352613,chemün,chem–ün,verbo,tratar bien,,,FFD 2022
020427182603263513,chewpüdün,chewpüdü–n,verbo,exterminar,,,Augusta 1903
0207052515352613,chifuñün,chifuñ–ün,verbo,oler mal,,,FFD 2022
0207082609,chikül,chikül,sustantivo,afrecho,,,Augusta 1903
0207090901,chilla,chilla,sustantivo,silla de la montura,,,Augusta 1903
020709090109352613,chillalün,chillal–ün,verbo,ensillar para otro,,,Augusta 1903
020709090127352613,chillawün,chillaw–ün,verbo,ensillar,,,Augusta 1903
0207090905253513,chillfun,chillfu–n,verbo,"aflojarse, perder la fuerza por el susto",,,Augusta 1903
020709090801,chillka,chillka,sustantivo,"carta, libro",,,Augusta 1903
02070909080122253513,chillkatun,chillkatu–n,verbo,"estudiar, escribir, leer",,,FFD 2022
020709090817,chillko,chillko,sustantivo,fuchsia (arbusto),,,Augusta 1903
